Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,35,"Rancier, Keenan Rancier, Keenan",,,,,,,,4.0,0.0,,,,,,,,,,,,View Bio,2025-26,Table_2,10-3,309:33,21.0,4.07,0.0,111.0,0.841,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60,"Avakyan, Nick Avakyan, Nick",,,,,,,,0.0,0.0,,,,,,,,,,,,View Bio,2025-26,Table_2,2-0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,2.0,,,,,,,,,,,,,2025-26,Table_2,38-0,33:21,7.0,12.59,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,24.0,5.0,,,,,,,,,,,,,2025-26,Table_2,38,2301:09,111.0,2.89,7.0,900.0,0.89,18.0,17.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,26.0,4.0,,,,,,,,,,,,,2025-26,Table_2,38,2301:09,111.0,3.08,7.0,1005.0,0.895,17.0,18.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,"Bottrill, Ryan Bottrill, Ryan",22.0,6.0,16.0,22.0,34.0,0.176,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5-10,5.0,0.0,0.0,3.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Van Steensel, Owen Van Steensel, Owen",22.0,8.0,9.0,17.0,50.0,0.16,-3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,7-14,7.0,0.0,0.0,12.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,"Gelinas, Remi Gelinas, Remi",22.0,8.0,8.0,16.0,40.0,0.2,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5-18,4.0,0.0,1.0,5.0,,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,"Mangan, Jared Mangan, Jared",22.0,6.0,8.0,14.0,44.0,0.136,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5-10,5.0,0.0,0.0,11.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,"Cote, Justin Cote, Justin",22.0,5.0,7.0,12.0,46.0,0.109,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3-6,3.0,0.0,0.0,5.0,,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Sarsland, Tristan Sarsland, Tristan",22.0,5.0,6.0,11.0,82.0,0.061,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6-12,6.0,0.0,0.0,23.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,"Brassington, Ty Brassington, Ty",22.0,4.0,7.0,11.0,55.0,0.073,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11-22,11.0,0.0,0.0,26.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,"Letourneau, Jace Letourneau, Jace",18.0,6.0,4.0,10.0,18.0,0.333,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8-16,8.0,0.0,0.0,5.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Sigurdson, Talon Sigurdson, Talon",22.0,3.0,7.0,10.0,49.0,0.061,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,22.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Mayich, Matthew Mayich, Matthew",18.0,4.0,4.0,8.0,33.0,0.121,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10-20,10.0,0.0,0.0,14.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Bargholtz, Erik Bargholtz, Erik",22.0,2.0,6.0,8.0,29.0,0.069,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,13.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"Taylor, Tate Taylor, Tate",22.0,2.0,6.0,8.0,45.0,0.044,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-12,6.0,0.0,0.0,25.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Sukovic, Luka Sukovic, Luka",21.0,1.0,6.0,7.0,24.0,0.042,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8-38,4.0,2.0,1.0,7.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,37,"St-Denis, Mael St-Denis, Mael",18.0,2.0,4.0,6.0,27.0,0.074,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5-18,4.0,0.0,1.0,7.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Bishop, William Bishop, William",21.0,1.0,3.0,4.0,15.0,0.067,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8-16,8.0,0.0,0.0,16.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,"Hellyer, Conyr Hellyer, Conyr",21.0,0.0,3.0,3.0,13.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,4.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72,"Sookro, Bryce Sookro, Bryce",22.0,0.0,3.0,3.0,26.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,16.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,"Sparkes, Jack Sparkes, Jack",21.0,0.0,2.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9-26,8.0,0.0,1.0,8.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"O'Donnell, Shawn O'Donnell, Shawn",18.0,1.0,0.0,1.0,15.0,0.067,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,2.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Pakulak, Luke Pakulak, Luke",17.0,1.0,0.0,1.0,9.0,0.111,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,6.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Houle, Noah Houle, Noah",1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,"Rancier, Keenan Rancier, Keenan",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Soderwall, Shane Soderwall, Shane",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,0.0,,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,22.0,65.0,109.0,174.0,667.0,0.097,3.0,15.0,1.0,9.0,9.0,2.0,2.0,0.0,6.0,114-274,107.0,2.0,4.0,230.0,,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,22.0,65.0,113.0,178.0,591.0,0.11,-9.0,16.0,4.0,12.0,10.0,1.0,0.0,1.0,2.0,114-277,106.0,3.0,5.0,285.0,,2025-26,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Soderwall, Shane Soderwall, Shane",,,,,,,,12.0,2.0,,,,,,,,,,,,View Bio,2025-26,Table_4,20-20,1109:35,48.0,2.6,0.0,452.0,0.904,8.0,8.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,"Rancier, Keenan Rancier, Keenan",,,,,,,,4.0,0.0,,,,,,,,,,,,View Bio,2025-26,Table_4,5-2,207:54,14.0,4.04,0.0,74.0,0.841,1.0,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,2.0,,,,,,,,,,,,,2025-26,Table_4,22-0,23:40,3.0,7.61,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,16.0,4.0,,,,,,,,,,,,,2025-26,Table_4,22,1341:09,68.0,2.91,3.0,526.0,0.89,9.0,10.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,15.0,1.0,,,,,,,,,,,,,2025-26,Table_4,22,1341:09,67.0,3.0,2.0,602.0,0.9,10.0,9.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,32.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/03/25,at Canisius,L,1-3,0.031,3-6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,9.0,15.0,26.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/09/25,at Penn State,W,6-4,0.231,7-14,0.0,1.0,1.0,1.0,0.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,23.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/10/25,at Penn State,L,2-5,0.087,13-77,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,30.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/18/25,at RIT,L,2-6,0.067,6-12,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,29.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/24/25,North Dakota,W,5-2,0.172,8-16,2.0,0.0,1.0,1.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,17.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/25/25,North Dakota,L,0-1,0.0,7-14,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,10.0,16.0,31.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,10/31/25,Michigan Tech,W,6-4,0.194,2-4,2.0,0.0,1.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,32.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/01/25,Lake Superior St.,L,2-6,0.063,5-10,2.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,17.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/07/25,at Union (NY),W,5-1,0.294,5-10,1.0,0.0,1.0,1.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,28.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/08/25,at Rensselaer,L,1-5,0.036,3-6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,0.0,1.0,36.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/14/25,Harvard,L,1-2,0.028,4-8,0.0,0.0,0.0,0.0,0.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,28.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/15/25,Dartmouth,L,1-3,0.036,4-8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,23.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/21/25,at Quinnipiac,L,1-4,0.043,6-12,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,26.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/22/25,at Princeton,L,3-4,0.115,3-6,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,31.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/28/25,vs UMass Lowell,W,2-0,0.065,3-6,0.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,23.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,11/29/25,vs Alas. Fairbanks,L,2-3,0.087,3-6,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,5.0,9.0,29.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,12/05/25,Cornell,W,4-1,0.138,7-14,0.0,0.0,0.0,1.0,0.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,7.0,12.0,31.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,12/06/25,Colgate,W,5-3,0.161,4-8,0.0,0.0,1.0,1.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,28.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,12/29/25,RIT,W,3-2,0.107,5-10,0.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,11.0,17.0,30.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/03/26,at Niagara,W,6-2,0.2,3-6,4.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,36.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/09/26,at Brown,W,3-2,0.083,4-8,2.0,0.0,0.0,1.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,26.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/10/26,at Yale,W,3-2,0.115,4-19,1.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,2.0,4.0,32.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/16/26,at Dartmouth,T,2-2,0.063,4-8,1.0,0.0,0.0,0.0,0.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,28.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/17/26,at Harvard,L,1-2,0.036,3-6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,10.0,15.0,41.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/23/26,St. Lawrence,T,5-5,0.122,2-4,3.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,50.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/24/26,at St. Lawrence,L,2-5,0.04,10-28,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,24.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/30/26,Princeton,L,1-3,0.042,6-12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,24.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,1/31/26,Quinnipiac,T,3-3,0.125,9-29,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,47.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/06/26,Rensselaer,L,3-4,0.064,5-10,1.0,1.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,13.0,21.0,33.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/07/26,Union (NY),W,8-7,0.242,8-16,1.0,0.0,0.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,8.0,12.0,32.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/20/26,Yale,W,4-1,0.125,9-34,0.0,0.0,0.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,28.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/21/26,Brown,W,4-3,0.143,7-14,1.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,4.0,8.0,27.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/27/26,at Colgate,W,4-1,0.148,2-4,0.0,0.0,0.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,21.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,2/28/26,at Cornell,L,1-2,0.048,5-10,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,33.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,3/06/26,Rensselaer,W,2-1,0.061,1-2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,35.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,3/13/26,at Quinnipiac,W,3-0,0.086,6-12,0.0,0.0,2.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,18.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,3/14/26,at Quinnipiac,W,4-3,0.222,12-24,1.0,2.0,0.0,1.0,0.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,31.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,3/20/26,vs Dartmouth,L,0-4,0.0,4-8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,111.0,186.0,297.0,1116.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,,Clarkson,,111-111,0.099,202-501,26.0,4.0,7.0,18.0,0.0,8.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,111.0,186.0,297.0,1011.0,,,,,,,0.0,,,,,,,,,,2025-26,Table_5,,,,,,,,,,,,,,Opponents,,111-111,0.11,199-509,24.0,5.0,7.0,17.0,2.0,7.0,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,0.0,1.0,0.0,,,10/03/25,at Canisius,L,,,,1.0,0.0,1.0,,,,,1-3,60:00,4.0,3.0,29.0,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,1.0,0.0,0.0,,,10/09/25,at Penn State,W,,,,2.0,0.0,0.0,,,,,6-4,60:00,4.0,4.0,36.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,0.0,1.0,0.0,,,10/10/25,at Penn State,L,,,,1.0,1.0,0.0,,,,,2-5,60:00,5.0,5.0,26.0,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,0.0,1.0,0.0,,,10/18/25,at RIT,L,,,,0.0,0.0,0.0,,,,,2-6,60:00,6.0,6.0,16.0,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,1.0,0.0,0.0,,,10/24/25,North Dakota,W,,,,1.0,0.0,0.0,,,,,5-2,60:00,2.0,2.0,18.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,Table_6,,,,,,,,0.0,1.0,0.0,,,10/25/25,North Dakota,L,,,,1.0,0.0,0.0,,,,,0-1,60:00,1.0,1.0,27.0,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,
